Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/appartement/a-vendre/zellik/1731/8857843?searchId=5f563962bb7aa,114700,Appartement,False,False,False,1731,Zellik,Appartement,2.0,None,48.0,1.0,None,False,False,False,None,True,8.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/liege/4020/8547381?searchId=5f563962bb7aa,115000,Appartement,False,False,False,4020,LIEGE,Appartement,2.0,Fraîchement rénové,75.0,2.0,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/mons/7000/8735078?searchId=5f563962bb7aa,115000,Appartement,False,False,False,7000,Mons,Appartement,None,None,70.0,2.0,Semi-équipée,False,False,False,None,True,14.0,None,False,None
https://www.immoweb.be/fr/annonce/studio/a-vendre/heist-aan-zee/8301/8484386?searchId=5f563962bb7aa,149000,Appartement,False,False,False,8301,Heist-aan-Zee,Studio,None,Excellent état,40.0,None,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/studio/a-vendre/molenbeek-sint-jan/1080/8638219?searchId=5f563962bb7aa,150000,Appartement,False,False,False,1080,Molenbeek-Sint-Jan,Studio,None,Excellent état,52.0,None,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/studio/a-vendre/etterbeek/1040/8785491?searchId=5f563962bb7aa,160000,Appartement,False,False,False,1040,Etterbeek,Studio,2.0,À rénover,51.0,None,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/moerbeke-waas/9180/8050905?searchId=5f563962bb7aa,165000,Appartement,False,False,False,9180,Moerbeke-Waas,Appartement,None,Bon,90.0,2.0,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/roulers/8800/8662590?searchId=5f563962bb7aa,165500,Appartement,False,False,False,8800,Roulers,Appartement,2.0,Excellent état,65.0,1.0,Équipée,False,False,False,None,True,29.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/huy/4500/8725094?searchId=5f563962bb7aa,171000,Appartement,False,False,False,4500,Huy,Appartement,2.0,None,84.0,2.0,Équipée,False,False,False,None,True,5.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/huy/4500/8725093?searchId=5f563962bb7aa,171000,Appartement,False,False,False,4500,Huy,Appartement,2.0,None,84.0,2.0,Équipée,False,False,False,None,True,5.0,None,False,None
