Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/studio/a-vendre/uccle/1180/8921530?searchId=5f562e955c50c,195000,Appartement,False,False,False,1180,Uccle,Studio,3.0,À rafraîchir,50.0,1,Pas équipée,False,False,False,None,False,None,None,False,50.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/genappe/1400/8879701?searchId=5f562e955c50c,195000,Appartement,False,False,False,1400,Genappe,Appartement,None,Excellent état,65.0,1,Hyper équipée,False,False,False,None,True,7.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ninove/9400/8896743?searchId=5f562e955c50c,195000,Appartement,False,False,False,9400,Ninove,Appartement,None,Excellent état,87.0,2,Équipée,False,False,True,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/heverlee/3001/8687983?searchId=5f562e955c50c,199000,Appartement,False,False,False,3001,Heverlee,Appartement,None,Fraîchement rénové,39.0,1,None,False,True,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent-wondelgem/9032/8919326?searchId=5f562e955c50c,199000,Appartement,False,False,False,9032,Gent Wondelgem,Appartement,None,Excellent état,58.0,1,Équipée,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent-wondelgem/9032/8919318?searchId=5f562e955c50c,199000,Appartement,False,False,False,9032,Gent Wondelgem,Appartement,None,Excellent état,58.0,1,Équipée,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/menin/8930/8870692?searchId=5f562e955c50c,203600,Appartement,False,False,False,8930,Menin,Penthouse,2.0,Bon,None,2,Équipée,False,False,True,12.0,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ath/7800/8868182?searchId=5f562e955c50c,205000,Appartement,False,False,False,7800,Ath,Appartement,None,None,95.0,2,Pas équipée,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/sint-amandsberg/9040/8873830?searchId=5f562e955c50c,219000,Appartement,False,False,False,9040,sint-amandsberg,Appartement,None,Bon,63.0,2,Semi-équipée,False,False,True,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/uccle/1180/8915544?searchId=5f562e955c50c,229000,Appartement,False,False,False,1180,Uccle,Appartement,3.0,None,81.0,2,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/voortkapel/2260/8856809?searchId=5f562e955c50c,238000,Appartement,False,False,False,2260,Voortkapel,Rez-de-chaussée,2.0,Bon,110.0,2,None,False,False,False,None,True,18.0,None,False,None
