Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/appartement/a-vendre/wemmel/1780/8804996?searchId=5f5639bb33936,335000,Appartement,False,False,False,1780,Wemmel,Appartement,2.0,None,100.0,2.0,None,False,False,False,None,True,25.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anvers/2600/8876799?searchId=5f5639bb33936,365000,Appartement,False,False,False,2600,Anvers,Appartement,None,Bon,103.0,2.0,None,False,False,False,None,True,6.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/duinbergen/8301/8470961?searchId=5f5639bb33936,365000,Appartement,False,False,False,8301,Duinbergen,Appartement,2.0,Fraîchement rénové,None,2.0,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/auvelais/5060/8216650?searchId=5f5639bb33936,373792,Appartement,False,False,False,5060,AUVELAIS,Appartement,3.0,None,136.0,3.0,None,False,False,False,None,True,75.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anvers/2000/8813078?searchId=5f5639bb33936,379000,Appartement,False,False,False,2000,Anvers,Appartement,2.0,Excellent état,103.0,2.0,Américaine hyper-équipée,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/wevelgem/8560/8772473?searchId=5f5639bb33936,390000,Appartement,False,False,False,8560,Wevelgem,Appartement,2.0,Bon,None,5.0,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/koksijde/8670/6652710?searchId=5f5639bb33936,399000,Appartement,False,False,False,8670,Koksijde,Appartement,2.0,Excellent état,110.0,2.0,Équipée,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/koksijde/8670/6652708?searchId=5f5639bb33936,419000,Appartement,False,False,False,8670,Koksijde,Appartement,2.0,Excellent état,118.0,2.0,Équipée,False,False,False,None,True,6.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/heist/8301/7632745?searchId=5f5639bb33936,425000,Appartement,False,False,False,8301,Heist,Appartement,2.0,None,285.0,None,None,False,False,False,None,False,None,None,False,285.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/uccle/1180/8746214?searchId=5f5639bb33936,445000,Appartement,False,False,False,1180,Uccle,Appartement,None,None,165.0,2.0,None,False,False,False,None,True,35.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gand/9000/8609900?searchId=5f5639bb33936,455000,Appartement,False,False,False,9000,Gand,Appartement,None,Excellent état,102.0,2.0,None,False,False,False,None,True,16.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ixelles/1050/8723003?searchId=5f5639bb33936,470000,Appartement,False,False,False,1050,Ixelles,Appartement,2.0,Fraîchement rénové,145.0,2.0,Hyper équipée,True,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/huldenberg/3040/8132993?searchId=5f5639bb33936,475000,Appartement,False,False,False,3040,Huldenberg,Appartement,None,Excellent état,160.0,2.0,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/courtrai/8500/8775458?searchId=5f5639bb33936,695000,Appartement,False,False,False,8500,Courtrai,Appartement,None,None,142.0,2.0,None,False,False,False,None,True,16.0,None,False,None
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/uccle/1180/8619090?searchId=5f5639bb33936,2450000,Appartement,False,False,False,1180,Uccle,Rez-de-chaussée,None,Excellent état,310.0,4.0,Hyper équipée,False,False,True,1500.0,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/herentals/2200/8899838?searchId=5f5639bb33936,199000,Appartement,False,False,True,2200,Herentals,Appartement,None,Excellent état,73.0,1.0,Américaine équipée,False,False,False,None,True,8.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/jette/1090/8880936?searchId=5f5639bb33936,170000,Appartement,False,False,False,1090,Jette,Appartement,None,Fraîchement rénové,50.0,1.0,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gand/9000/8878149?searchId=5f5639bb33936,455000,Appartement,False,False,False,9000,Gand,Appartement,None,Excellent état,None,2.0,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/studio/a-vendre/louvain/3000/8905190?searchId=5f5639bb33936,160000,Appartement,False,False,False,3000,Louvain,Studio,None,Excellent état,25.0,None,Équipée,False,False,False,None,False,None,None,False,None
