Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke/8300/8648355?searchId=5f5637c6a9588,495000,Appartement,False,False,False,8300,Knokke,Appartement,2.0,Excellent état,74,2,Équipée,False,False,False,None,True,3.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/sint-idesbald/8670/8639394?searchId=5f5637c6a9588,495000,Appartement,False,False,False,8670,Sint-Idesbald,Appartement,3.0,Excellent état,136,2,Américaine hyper-équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/zele/9240/8474386?searchId=5f5637c6a9588,497500,Appartement,False,False,False,9240,Zele,Penthouse,2.0,None,249,4,None,False,False,False,None,True,62.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/auderghem/1160/8848343?searchId=5f5637c6a9588,501500,Appartement,False,False,False,1160,Auderghem,Appartement,None,Excellent état,102,2,Américaine hyper-équipée,False,False,False,None,True,25.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke/8300/8605318?searchId=5f5637c6a9588,578000,Appartement,False,False,False,8300,Knokke,Appartement,2.0,Bon,64,1,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/duinbergen/8301/8551284?searchId=5f5637c6a9588,595000,Appartement,False,False,False,8301,Duinbergen,Appartement,3.0,Bon,80,2,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ixelles/1050/8597021?searchId=5f5637c6a9588,649000,Appartement,False,False,False,1050,Ixelles,Appartement,3.0,Excellent état,120,2,Hyper équipée,False,False,False,None,True,10.0,None,False,None
https://www.immoweb.be/fr/annonce/duplex/a-vendre/knokke/8300/8828932?searchId=5f5637c6a9588,685000,Appartement,False,False,False,8300,Knokke,Duplex,2.0,Excellent état,120,2,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/duplex/a-vendre/knokke/8300/8096077?searchId=5f5637c6a9588,740000,Appartement,False,False,False,8300,Knokke,Duplex,2.0,Excellent état,128,2,Équipée,True,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/loft/a-vendre/courtrai/8500/8786468?searchId=5f5637c6a9588,750000,Appartement,False,False,False,8500,Courtrai,Loft,2.0,Excellent état,242,3,Équipée,False,False,False,None,False,None,None,False,None
