Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/villa/a-vendre/mellet/6211/8895345?searchId=5f562a343d8bd,485000,Maison,False,False,False,6211,Mellet,Villa,4,Excellent état,None,3,Hyper équipée,False,False,False,None,False,None,950,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/nivelles/1400/8905906?searchId=5f562a343d8bd,175000,Maison,False,False,False,1400,Nivelles,Maison,2,None,137.0,3,Équipée,True,False,True,28.0,True,28.0,103,False,None
https://www.immoweb.be/fr/annonce/bungalow/a-vendre/vise-richelle/4600/8901685?searchId=5f562a343d8bd,230000,Maison,False,False,False,4600,Visé Richelle,Bungalow,4,À rénover,145.0,2,None,False,False,False,None,True,None,600,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/rochefort-buissonville/5580/8871574?searchId=5f562a343d8bd,249000,Maison,False,False,False,5580,Rochefort Buissonville,Maison,4,Bon,130.0,3,Équipée,False,False,False,None,True,None,1637,False,None
https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/hannut/4280/8861643?searchId=5f562a343d8bd,325000,Maison,False,False,False,4280,Hannut,Maison de maître,2,Excellent état,231.0,4,Équipée,False,False,False,None,True,70.0,232,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/ottignies/1340/8798578?searchId=5f562a343d8bd,500000,Maison,False,False,False,1340,Ottignies,Maison,4,Bon,250.0,4,Équipée,False,False,True,1500.0,True,None,1850,False,None
https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/kemzeke/9190/8904891?searchId=5f562a343d8bd,569000,Maison,False,False,False,9190,KEMZEKE,Bien exceptionnel,4,Bon,310.0,6,Semi-équipée,False,False,False,None,True,None,1766,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/grace-berleur/4460/8878091?searchId=5f562a343d8bd,99000,Maison,False,False,False,4460,GRÂCE-BERLEUR,Maison,2,À rénover,148.0,2,Équipée,False,False,True,380.0,True,10.0,451,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/grobbendonk/2280/8893517?searchId=5f562a343d8bd,248000,Maison,False,False,False,2280,Grobbendonk,Maison,4,À rafraîchir,135.0,3,Semi-équipée,False,False,False,None,True,20.0,974,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/ladeuze/7950/8895075?searchId=5f562a343d8bd,285000,Maison,False,False,False,7950,LADEUZE,Villa,4,Bon,140.0,3,Équipée,False,False,False,None,True,55.0,1800,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/rochefort/5580/8822554?searchId=5f562a343d8bd,350000,Maison,False,True,False,5580,Rochefort,Maison,2,Bon,289.0,8,Équipée,False,False,False,None,True,None,1463,False,220.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/aalter-bellem/9881/8919436?searchId=5f562a343d8bd,465000,Maison,False,False,False,9881,Aalter Bellem,Maison,4,Bon,185.0,3,Hyper équipée,False,False,True,600.0,True,50.0,787,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/evere/1140/8915498?searchId=5f562a343d8bd,475000,Maison,False,False,False,1140,Evere,Maison,3,Bon,290.0,5,Américaine semi-équipée,False,False,True,120.0,True,26.0,272,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/lillois-witterzee/1428/8865051?searchId=5f562a343d8bd,489000,Maison,False,False,False,1428,Lillois-Witterzée,Villa,4,Excellent état,250.0,3,Équipée,False,False,True,None,False,None,861,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/woluwe-saint-lambert/1200/8883077?searchId=5f562a343d8bd,675000,Maison,False,False,False,1200,Woluwe-Saint-Lambert,Maison,2,À rénover,265.0,6,Pas équipée,False,False,True,50.0,True,14.0,135,False,71.0
https://www.immoweb.be/fr/annonce/villa/a-vendre/grez-doiceau/1390/8904919?searchId=5f562a343d8bd,1465000,Maison,False,False,False,1390,Grez-Doiceau,Villa,4,Bon,424.0,5,Équipée,True,False,True,None,False,None,5436,True,None
https://www.immoweb.be/fr/annonce/ferme/a-vendre/oreye/4360/8690899?searchId=5f562a343d8bd,125000,Maison,False,False,False,4360,Oreye,Ferme,3,À rénover,400.0,5,Pas équipée,False,False,True,64.0,True,64.0,331,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/huy/4500/8647883?searchId=5f562a343d8bd,135000,Maison,False,True,False,4500,Huy,Maison,2,À rafraîchir,160.0,4,Semi-équipée,False,False,True,75.0,True,None,160,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/fosses-la-ville/5070/8623517?searchId=5f562a343d8bd,152000,Maison,False,True,False,5070,Fosses-la-Ville,Maison,2,Bon,200.0,4,Équipée,False,False,True,200.0,True,None,360,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/engis-hermallesous-huy/4480/8828170?searchId=5f562a343d8bd,158000,Maison,False,False,False,4480,Engis Hermallesous-Huy,Maison,3,À rafraîchir,130.0,3,None,False,False,True,260.0,False,None,349,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/herstal/4040/8829526?searchId=5f562a343d8bd,160000,Maison,False,False,False,4040,Herstal,Maison,2,À rafraîchir,115.0,3,Équipée,False,False,True,20.0,True,15.0,138,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/souvret/6182/8707013?searchId=5f562a343d8bd,169000,Maison,False,False,False,6182,Souvret,Maison,3,À rénover,166.0,3,Pas équipée,False,False,True,320.0,False,None,400,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/courtrai/8500/8811477?searchId=5f562a343d8bd,179000,Maison,False,False,False,8500,Courtrai,Maison,2,Bon,89.0,2,None,False,False,False,None,True,None,60,False,None
https://www.immoweb.be/fr/annonce/maison-bel-etage/a-vendre/liege-chenee/4032/8826197?searchId=5f562a343d8bd,180500,Maison,False,False,False,4032,Liège Chênée,Maison bel-étage,2,Bon,110.0,2,Équipée,False,False,True,60.0,False,None,120,False,50.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/chaudfontaine/4050/8824735?searchId=5f562a343d8bd,185000,Maison,False,False,False,4050,Chaudfontaine,Maison,4,À rafraîchir,120.0,3,Semi-équipée,False,False,True,25.0,False,None,126,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/les-bons-villers-frasnes-lez-gosselies/6210/8811632?searchId=5f562a343d8bd,195000,Maison,False,False,False,6210,Les Bons Villers Frasnes-lez-Gosselies,Maison,2,Bon,156.0,4,Américaine hyper-équipée,False,False,True,169.0,True,22.0,240,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/dalhem/4607/8858469?searchId=5f562a343d8bd,199000,Maison,False,False,False,4607,Dalhem,Maison,3,À rafraîchir,116.0,3,Semi-équipée,False,False,True,446.0,True,None,846,False,60.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/ottignies/1341/8800110?searchId=5f562a343d8bd,200000,Maison,False,False,False,1341,Ottignies,Maison,4,À rafraîchir,120.0,3,Équipée,False,False,False,None,True,22.0,409,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/gouvy/6670/8753496?searchId=5f562a343d8bd,200000,Maison,False,False,False,6670,Gouvy,Maison,3,Bon,145.0,3,Équipée,False,False,True,300.0,True,None,300,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/walcourt-somzee/5651/8711897?searchId=5f562a343d8bd,210000,Maison,False,False,False,5651,Walcourt Somzée,Maison,4,À rafraîchir,170.0,3,Semi-équipée,False,False,True,330.0,True,None,443,False,None
