Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/maison/a-vendre/anvers/2018/8747151?searchId=5f562cd54a0a0,459000,Maison,False,False,False,2018,Anvers,Maison,2.0,Bon,189.0,3.0,None,False,False,False,None,True,None,62.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/oostduinkerke/8670/8910062?searchId=5f562cd54a0a0,465000,Maison,False,False,False,8670,Oostduinkerke,Villa,4.0,Excellent état,None,4.0,Équipée,True,False,False,None,True,30.0,480.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/herent/3020/8848966?searchId=5f562cd54a0a0,475000,Maison,False,False,False,3020,Herent,Maison,3.0,Bon,250.0,5.0,None,False,False,True,450.0,True,25.0,525.0,False,None
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/nivelles/1400/8629411?searchId=5f562cd54a0a0,500000,Maison,False,True,False,1400,Nivelles,Immeuble mixte,3.0,None,530.0,None,Semi-équipée,False,False,False,None,False,None,551.0,False,None
https://www.immoweb.be/fr/annonce/fermette/a-vendre/herchies/7050/8836863?searchId=5f562cd54a0a0,550000,Maison,False,False,False,7050,HERCHIES,Fermette,4.0,Bon,240.0,5.0,None,False,False,False,None,True,None,5270.0,False,None
https://www.immoweb.be/fr/annonce/fermette/a-vendre/lokeren/9160/8901543?searchId=5f562cd54a0a0,599000,Maison,False,False,False,9160,Lokeren,Fermette,4.0,À rénover,200.0,5.0,None,False,False,False,None,True,None,18323.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/woluwe-st-pierre/1150/8900858?searchId=5f562cd54a0a0,715000,Maison,False,False,False,1150,Woluwe-St-Pierre,Maison,2.0,Bon,246.0,5.0,Équipée,False,False,True,100.0,False,None,156.0,False,None
https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/anzegem/8570/8919423?searchId=5f562cd54a0a0,825000,Maison,False,False,False,8570,Anzegem,Bien exceptionnel,3.0,Excellent état,388.0,3.0,Équipée,False,False,True,250.0,True,100.0,937.0,False,None
https://www.immoweb.be/fr/annonce/fermette/a-vendre/bogaarden/1670/8637610?searchId=5f562cd54a0a0,900000,Maison,False,False,False,1670,Bogaarden,Fermette,4.0,None,370.0,6.0,None,False,False,False,None,False,None,30000.0,False,None
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/liege/4000/8844581?searchId=5f562cd54a0a0,1100000,Maison,False,True,False,4000,Liege,Immeuble à appartements,3.0,Fraîchement rénové,600.0,14.0,Équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/molenbeek-st-jean/1080/8590920?searchId=5f562cd54a0a0,1250000,Maison,False,True,False,1080,Molenbeek-St-Jean,Immeuble à appartements,2.0,None,1080.0,None,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/bruges/8000/8882926?searchId=5f562cd54a0a0,1395000,Maison,False,True,False,8000,Bruges,Maison,None,Bon,600.0,3.0,None,False,True,False,None,False,None,1227.0,False,285.0
https://www.immoweb.be/fr/annonce/villa/a-vendre/waterloo/1410/8856805?searchId=5f562cd54a0a0,1725000,Maison,False,False,False,1410,Waterloo,Villa,4.0,Bon,460.0,6.0,None,False,False,False,None,True,None,2122.0,False,215.0
https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/bruges/8000/8866524?searchId=5f562cd54a0a0,3450000,Maison,False,False,False,8000,Bruges,Maison de maître,4.0,None,1300.0,20.0,None,False,False,False,None,False,None,1000.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke-heist/8300/8851841?searchId=5f562cd54a0a0,3850000,Maison,False,False,False,8300,Knokke-Heist,Villa,4.0,Bon,267.0,6.0,None,False,False,False,None,True,None,770.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/gedinne/5575/8747798?searchId=5f562cd54a0a0,189000,Maison,False,False,False,5575,Gedinne,Maison,3.0,None,130.0,3.0,Pas équipée,False,False,True,200.0,True,20.0,230.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/lessines/7860/8833070?searchId=5f562cd54a0a0,195000,Maison,False,False,False,7860,Lessines,Maison,None,À rénover,None,3.0,Pas équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/molenbeek-st-jean/1080/8900825?searchId=5f562cd54a0a0,239000,Maison,False,False,False,1080,Molenbeek-St-Jean,Maison,2.0,Bon,75.0,2.0,Semi-équipée,False,False,True,20.0,True,None,100.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/lennik/1750/8784248?searchId=5f562cd54a0a0,459000,Maison,False,False,False,1750,Lennik,Villa,None,Bon,171.0,4.0,Équipée,False,False,True,700.0,True,112.0,1616.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/braine-lalleud/1420/8897042?searchId=5f562cd54a0a0,495000,Maison,False,False,False,1420,Braine-l'Alleud,Villa,None,Bon,300.0,5.0,Équipée,False,False,False,None,True,None,1000.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/braine-le-chateau/1440/8901176?searchId=5f562cd54a0a0,545000,Maison,False,False,False,1440,Braine-le-Château,Villa,None,Excellent état,265.0,4.0,Hyper équipée,False,False,False,None,True,None,840.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/knokke-heist/8300/8791422?searchId=5f562cd54a0a0,950000,Maison,False,False,True,8300,Knokke-Heist,Maison,3.0,Excellent état,355.0,3.0,Hyper équipée,False,False,True,151.0,True,None,338.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/berloz/4257/8812876?searchId=5f562cd54a0a0,287982,Maison,False,False,True,4257,Berloz,Maison,3.0,Excellent état,143.0,3.0,Hyper équipée,False,False,True,None,False,None,536.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/berloz/4257/8812873?searchId=5f562cd54a0a0,292383,Maison,False,False,True,4257,Berloz,Maison,3.0,Excellent état,144.0,3.0,Hyper équipée,False,False,True,None,False,None,556.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/berloz/4257/8812875?searchId=5f562cd54a0a0,297306,Maison,False,False,True,4257,Berloz,Maison,3.0,Excellent état,154.0,3.0,Hyper équipée,False,False,True,None,False,None,507.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/flobecq/7880/7668368?searchId=5f562cd54a0a0,299000,Maison,False,False,True,7880,Flobecq,Maison,3.0,Bon,255.0,4.0,Équipée,False,False,True,None,True,None,820.0,False,106.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/berloz/4257/8812874?searchId=5f562cd54a0a0,299344,Maison,False,False,True,4257,Berloz,Maison,3.0,Excellent état,144.0,3.0,Hyper équipée,False,False,True,None,False,None,556.0,False,None
