Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/maison/a-vendre/roly/5600/8875590?searchId=5f562fe973df4,25000,Maison,True,False,False,5600,Roly,Maison,1.0,À rénover,None,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/mouscron/7700/8881603?searchId=5f562fe973df4,139000,Maison,False,False,False,7700,Mouscron,Maison,2.0,Fraîchement rénové,80.0,2,Équipée,False,False,False,None,True,19.0,90.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/saint-nicolas/4420/8859823?searchId=5f562fe973df4,223000,Maison,False,False,False,4420,Saint-Nicolas,Maison,2.0,None,240.0,5,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/grammont/9500/8746736?searchId=5f562fe973df4,295000,Maison,False,False,False,9500,Grammont,Maison,3.0,None,273.0,5,None,False,False,False,None,True,None,476.0,False,316.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/herzele/9550/8903025?searchId=5f562fe973df4,298000,Maison,False,False,False,9550,Herzele,Maison,2.0,Excellent état,160.0,3,Équipée,False,False,False,None,False,None,100.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/monceau-sur-sambre/6031/8913886?searchId=5f562fe973df4,398000,Maison,False,False,False,6031,Monceau-sur-Sambre,Villa,4.0,None,227.0,5,Hyper équipée,False,False,True,9200.0,True,30.0,9559.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/glabbeek/3380/8905749?searchId=5f562fe973df4,399000,Maison,False,False,False,3380,Glabbeek,Villa,4.0,Bon,250.0,4,None,False,False,False,None,True,None,1077.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke-heist/8300/8896007?searchId=5f562fe973df4,2695000,Maison,False,False,False,8300,Knokke-Heist,Villa,4.0,Excellent état,600.0,4,Hyper équipée,False,False,False,None,True,None,1055.0,True,600.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/oostkamp/8020/8916555?searchId=5f562fe973df4,449000,Maison,False,False,False,8020,Oostkamp,Maison,4.0,À rafraîchir,None,5,Équipée,False,False,True,1034.0,True,18.0,1267.0,False,233.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/woluwe-saint-pierre/1150/8909715?searchId=5f562fe973df4,750000,Maison,False,False,False,1150,Woluwe-Saint-Pierre,Maison,3.0,À rénover,165.0,4,None,False,False,True,150.0,True,15.0,276.0,False,22.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/montegnee/4420/8916643?searchId=5f562fe973df4,99000,Maison,False,False,False,4420,MONTEGNÉE,Maison,3.0,À rafraîchir,70.0,1,None,False,False,True,80.0,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/grammont/9500/8920433?searchId=5f562fe973df4,129000,Maison,False,False,False,9500,Grammont,Maison,2.0,À rafraîchir,110.0,2,None,False,False,False,None,False,None,60.0,False,60.0
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/landelies/6111/8903915?searchId=5f562fe973df4,145000,Maison,False,True,False,6111,Landelies,Immeuble mixte,2.0,À rafraîchir,150.0,5,None,False,False,False,None,False,None,350.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/herstal/4040/8911631?searchId=5f562fe973df4,189000,Maison,False,False,False,4040,Herstal,Maison,2.0,None,170.0,2,None,False,False,True,47.0,False,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/meulebeke/8760/8888754?searchId=5f562fe973df4,190000,Maison,False,False,False,8760,Meulebeke,Maison,2.0,À rafraîchir,95.0,3,Semi-équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/gand/9000/8901446?searchId=5f562fe973df4,259000,Maison,False,False,False,9000,Gand,Maison,2.0,À rénover,98.0,2,Équipée,False,False,False,None,False,None,273.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/lokeren/9160/8896495?searchId=5f562fe973df4,349000,Maison,False,False,False,9160,Lokeren,Maison,4.0,Bon,250.0,3,Équipée,False,False,True,400.0,True,25.0,600.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/lasne/1380/8591821?searchId=5f562fe973df4,1495000,Maison,False,False,True,1380,Lasne,Villa,4.0,Excellent état,485.0,4,None,True,False,True,None,True,None,8500.0,True,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/schilde/2970/8895138?searchId=5f562fe973df4,2250000,Maison,False,False,False,2970,Schilde,Villa,4.0,Excellent état,475.0,4,Hyper équipée,True,False,True,2200.0,True,40.0,3700.0,True,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/bruges/8000/8892777?searchId=5f562fe973df4,290000,Maison,True,False,False,8000,Bruges,Maison,2.0,Bon,267.0,4,Équipée,False,False,False,None,True,None,138.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/pepinster/4860/8882895?searchId=5f562fe973df4,315000,Maison,False,False,True,4860,Pepinster,Maison,3.0,Excellent état,231.0,5,None,False,False,False,None,False,None,1421.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-kruis/8310/8881506?searchId=5f562fe973df4,339000,Maison,False,False,False,8310,Sint-Kruis,Maison,4.0,À rénover,239.0,4,Pas équipée,False,False,False,None,True,None,1290.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/everbeek/9660/8869168?searchId=5f562fe973df4,625000,Maison,False,False,False,9660,Everbeek,Villa,4.0,Excellent état,366.0,4,Équipée,False,False,False,None,False,None,2538.0,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/het-zoute/8300/8859198?searchId=5f562fe973df4,3850000,Maison,False,False,False,8300,Het Zoute,Villa,4.0,Excellent état,239.0,6,None,False,False,False,None,True,None,770.0,False,155.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/lede/9340/8872793?searchId=5f562fe973df4,239000,Maison,False,False,False,9340,Lede,Maison,2.0,À rafraîchir,160.0,3,Semi-équipée,False,False,False,None,True,None,190.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/gavere/9890/8899543?searchId=5f562fe973df4,285000,Maison,False,False,False,9890,Gavere,Maison,3.0,None,104.0,2,None,False,False,True,None,False,None,205.0,False,96.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/audenarde/9700/8882667?searchId=5f562fe973df4,289000,Maison,False,False,False,9700,Audenarde,Maison,2.0,Excellent état,250.0,3,None,False,False,True,None,True,None,640.0,False,186.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/nieuport/8620/8814805?searchId=5f562fe973df4,295000,Maison,False,False,False,8620,Nieuport,Maison,None,Excellent état,80.0,3,Équipée,False,True,True,None,True,None,280.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/stene/8400/8904896?searchId=5f562fe973df4,379000,Maison,False,False,False,8400,Stene,Maison,3.0,Bon,None,4,Équipée,False,False,False,None,True,None,521.0,False,186.0
