Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/8457259?searchId=5f563a41a3935,540000,Appartement,False,False,False,1000,BRUXELLES,Appartement,2.0,Fraîchement rénové,95.0,2,Équipée,False,False,False,None,True,12.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/8603762?searchId=5f563a41a3935,578000,Appartement,False,False,False,8300,Knokke-Heist,Appartement,2.0,Excellent état,64.0,1,Hyper équipée,False,False,False,None,True,4.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/tirlemont/3300/8730873?searchId=5f563a41a3935,589000,Appartement,False,False,False,3300,Tirlemont,Appartement,2.0,Bon,270.0,4,Équipée,True,False,True,700.0,True,100.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/molenbeek-saint-jean/1080/8751438?searchId=5f563a41a3935,595000,Appartement,False,False,False,1080,MOLENBEEK-SAINT-JEAN,Appartement,2.0,Fraîchement rénové,200.0,2,Équipée,False,False,False,None,True,6.0,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/knokke-heist/8300/8433765?searchId=5f563a41a3935,595000,Appartement,False,False,False,8300,Knokke-Heist,Penthouse,None,Fraîchement rénové,64.0,2,Hyper équipée,False,False,False,None,True,80.0,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/knokke/8300/8261113?searchId=5f563a41a3935,595000,Appartement,False,False,False,8300,Knokke,Penthouse,None,Excellent état,64.0,2,None,False,False,False,None,True,80.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/7691185?searchId=5f563a41a3935,595000,Appartement,False,False,False,8300,Knokke-Heist,Appartement,2.0,Bon,None,2,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/loft/a-vendre/anvers/2000/8290853?searchId=5f563a41a3935,599000,Appartement,False,False,False,2000,Anvers,Loft,2.0,Excellent état,162.0,3,Équipée,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ostende/8400/8735096?searchId=5f563a41a3935,599000,Appartement,False,False,False,8400,Ostende,Appartement,3.0,Excellent état,98.0,2,Hyper équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/7889188?searchId=5f563a41a3935,650000,Appartement,False,False,False,1000,Bruxelles,Appartement,None,Excellent état,140.0,3,Hyper équipée,False,False,False,None,True,12.0,None,False,None
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/auderghem/1160/8846654?searchId=5f563a41a3935,657000,Appartement,False,False,False,1160,Auderghem,Rez-de-chaussée,2.0,Excellent état,114.0,2,Américaine hyper-équipée,False,False,True,48.0,True,36.0,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/louvain/3000/8671679?searchId=5f563a41a3935,675000,Appartement,False,False,False,3000,Louvain,Penthouse,2.0,Excellent état,165.0,3,Équipée,False,False,False,None,True,17.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/etterbeek/1040/8800617?searchId=5f563a41a3935,695000,Appartement,False,False,False,1040,Etterbeek,Appartement,2.0,Excellent état,182.0,4,None,False,False,False,None,False,None,None,False,182.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/auderghem/1160/7770952?searchId=5f563a41a3935,730000,Appartement,False,False,False,1160,Auderghem,Appartement,2.0,Excellent état,220.0,3,Hyper équipée,False,False,False,None,True,15.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/8774649?searchId=5f563a41a3935,748000,Appartement,False,False,False,1000,BRUXELLES,Appartement,2.0,Excellent état,170.0,3,Équipée,True,False,False,None,True,35.0,None,False,None
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/uccle/1180/8728907?searchId=5f563a41a3935,750000,Appartement,False,False,False,1180,Uccle,Rez-de-chaussée,None,À rafraîchir,160.0,3,Équipée,False,False,True,100.0,True,44.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/7889186?searchId=5f563a41a3935,755000,Appartement,False,False,False,1000,Bruxelles,Appartement,None,Excellent état,155.0,3,Hyper équipée,False,False,False,None,True,26.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/7725776?searchId=5f563a41a3935,775000,Appartement,False,False,False,8300,Knokke-Heist,Appartement,None,Excellent état,90.0,2,None,False,False,True,None,False,None,None,False,90.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke/8300/8864892?searchId=5f563a41a3935,785000,Appartement,False,False,False,8300,Knokke,Appartement,2.0,Bon,100.0,3,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/woluwe-saint-pierre/1150/8619180?searchId=5f563a41a3935,795000,Appartement,False,False,False,1150,Woluwe-Saint-Pierre,Appartement,2.0,À rafraîchir,215.0,4,Équipée,False,False,True,140.0,True,75.0,None,False,225.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ixelles/1050/7336274?searchId=5f563a41a3935,850000,Appartement,False,False,False,1050,Ixelles,Appartement,3.0,Excellent état,221.0,2,Américaine hyper-équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/7889187?searchId=5f563a41a3935,895000,Appartement,False,False,False,1000,Bruxelles,Appartement,None,Excellent état,171.0,3,Hyper équipée,False,False,False,None,True,38.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke/8300/8545597?searchId=5f563a41a3935,895000,Appartement,False,False,False,8300,Knokke,Appartement,2.0,Excellent état,90.0,3,None,False,False,False,None,True,None,None,False,90.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/7330172?searchId=5f563a41a3935,899000,Appartement,False,False,False,8300,Knokke-Heist,Appartement,2.0,Bon,105.0,3,Équipée,False,False,False,None,True,7.0,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/woluwe-saint-pierre/1150/8822174?searchId=5f563a41a3935,900000,Appartement,False,False,False,1150,Woluwe-Saint-Pierre,Penthouse,3.0,Excellent état,215.0,4,Hyper équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke/8300/8383550?searchId=5f563a41a3935,930000,Appartement,False,False,False,8300,Knokke,Appartement,None,None,111.0,3,None,False,False,False,None,True,None,None,False,111.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/etterbeek/1040/8324512?searchId=5f563a41a3935,950000,Appartement,False,False,False,1040,Etterbeek,Appartement,3.0,Bon,294.0,3,Hyper équipée,False,False,False,None,False,None,None,False,300.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/forest/1190/8774334?searchId=5f563a41a3935,950000,Appartement,False,False,False,1190,Forest,Appartement,2.0,Excellent état,250.0,3,Américaine non-équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/uccle/1180/8725980?searchId=5f563a41a3935,975000,Appartement,False,False,False,1180,Uccle,Appartement,2.0,Excellent état,190.0,2,Équipée,False,False,False,None,True,12.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anvers/2018/8584406?searchId=5f563a41a3935,990000,Appartement,False,False,False,2018,Anvers,Appartement,2.0,Excellent état,300.0,3,Hyper équipée,True,True,False,None,True,20.0,None,False,None
