Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/maison/a-vendre/hoeilaart/1560/8310508?searchId=5f562ef3762b0,329000,Maison,False,False,False,1560,Hoeilaart,Maison,3.0,Bon,165,3,Semi-équipée,False,False,False,None,True,None,180,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/dixmude/8600/8456492?searchId=5f562ef3762b0,339000,Maison,False,False,False,8600,Dixmude,Maison,None,Excellent état,170,4,Hyper équipée,False,False,True,None,True,None,523,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/dixmude/8600/8456491?searchId=5f562ef3762b0,349000,Maison,False,False,False,8600,Dixmude,Maison,None,Excellent état,170,4,Hyper équipée,False,False,True,None,True,None,551,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/aartselaar/2630/8817123?searchId=5f562ef3762b0,365000,Maison,False,False,False,2630,Aartselaar,Maison,2.0,Bon,162,3,Équipée,False,False,True,93.0,True,36.0,184,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/gijzenzele/9860/8267703?searchId=5f562ef3762b0,370000,Maison,False,False,False,9860,Gijzenzele,Maison,None,Bon,358,4,Équipée,False,False,True,None,True,None,841,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/enghien/7850/8876807?searchId=5f562ef3762b0,375000,Maison,False,False,False,7850,Enghien,Villa,4.0,À rénover,240,3,Semi-équipée,False,False,True,770.0,True,25.0,890,False,110.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/mouscron/7700/8270178?searchId=5f562ef3762b0,385000,Maison,False,False,False,7700,Mouscron,Maison,4.0,Bon,220,3,Équipée,True,False,True,850.0,True,20.0,984,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/st-andries/8200/8767869?searchId=5f562ef3762b0,385000,Maison,False,False,False,8200,St-Andries,Maison,2.0,Bon,260,4,Équipée,False,False,True,300.0,True,None,430,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/strombeek-bever/1853/7409356?searchId=5f562ef3762b0,385267,Maison,False,False,False,1853,Strombeek-Bever,Maison,3.0,None,193,3,None,False,False,False,None,True,None,272,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-amands/2890/8730241?searchId=5f562ef3762b0,388000,Maison,False,False,False,2890,Sint-Amands,Maison,None,Excellent état,108,3,Équipée,False,False,True,None,False,None,401,False,293.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/embourg/4053/8874388?searchId=5f562ef3762b0,389000,Maison,False,False,False,4053,Embourg,Maison,4.0,None,175,3,None,False,False,False,None,True,35.0,787,False,None
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/fleurus-wanfercee-baulet/6224/8756282?searchId=5f562ef3762b0,399000,Maison,False,True,False,6224,Fleurus Wanfercée-Baulet,Immeuble mixte,4.0,À rafraîchir,330,6,Hyper équipée,False,False,True,1400.0,True,None,1764,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/matagne-la-petite/5680/8215225?searchId=5f562ef3762b0,400000,Maison,False,False,False,5680,Matagne-la-Petite,Maison,2.0,None,485,6,Hyper équipée,False,False,True,600.0,True,25.0,900,False,None
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/matagne-la-petite/5680/8215224?searchId=5f562ef3762b0,400000,Maison,False,True,False,5680,Matagne-la-Petite,Immeuble à appartements,2.0,None,485,6,Hyper équipée,False,False,True,600.0,True,25.0,900,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/duffel/2570/8708897?searchId=5f562ef3762b0,438000,Maison,False,False,False,2570,Duffel,Maison,None,À rafraîchir,266,5,None,False,False,True,330.0,False,None,764,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/chaumont-gistoux/1325/8828235?searchId=5f562ef3762b0,449000,Maison,False,False,False,1325,Chaumont-Gistoux,Maison,3.0,Excellent état,200,3,Américaine hyper-équipée,False,False,False,None,True,None,300,False,None
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/virton/6760/8035441?searchId=5f562ef3762b0,450000,Maison,False,True,False,6760,Virton,Immeuble mixte,2.0,Fraîchement rénové,259,5,Semi-équipée,False,False,False,None,False,None,115,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/damme/8340/8716620?searchId=5f562ef3762b0,450000,Maison,False,True,False,8340,Damme,Maison,2.0,Excellent état,112,3,Hyper équipée,True,True,True,35.0,False,None,98,False,60.0
https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/neder-over-heembeek/1120/8791024?searchId=5f562ef3762b0,465000,Maison,False,False,False,1120,Neder-over-Heembeek,Bien exceptionnel,3.0,Fraîchement rénové,153,4,None,False,False,True,248.0,True,15.0,339,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/genval/1332/8771131?searchId=5f562ef3762b0,465000,Maison,False,False,False,1332,Genval,Maison,3.0,Excellent état,220,4,Pas équipée,False,False,True,751.0,True,None,751,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/varsenare/8490/8870071?searchId=5f562ef3762b0,475000,Maison,False,True,False,8490,Varsenare,Maison,None,Bon,492,4,Équipée,False,False,True,None,True,None,1009,False,None
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/barchon/4671/8585905?searchId=5f562ef3762b0,477000,Maison,False,True,False,4671,Barchon,Immeuble à appartements,4.0,None,1050,4,Pas équipée,False,False,True,4000.0,False,None,4300,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/oupeye/4680/8634195?searchId=5f562ef3762b0,485000,Maison,False,False,False,4680,Oupeye,Maison,None,Excellent état,250,4,Hyper équipée,False,False,True,3200.0,True,19.0,3400,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/kraainem/1950/8840525?searchId=5f562ef3762b0,489000,Maison,False,False,False,1950,Kraainem,Maison,2.0,Bon,170,3,Équipée,False,False,False,None,True,None,217,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/mouscron/7700/7675470?searchId=5f562ef3762b0,495000,Maison,False,False,False,7700,Mouscron,Villa,4.0,Bon,160,3,Équipée,True,False,True,1340.0,True,40.0,1490,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/merchtem/1785/8682402?searchId=5f562ef3762b0,515000,Maison,False,False,False,1785,Merchtem,Maison,None,À rafraîchir,150,4,None,False,False,True,None,False,None,954,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/auderghem/1160/8826035?searchId=5f562ef3762b0,530000,Maison,False,False,False,1160,Auderghem,Maison,2.0,Fraîchement rénové,165,4,Hyper équipée,False,False,True,45.0,True,None,200,False,None
https://www.immoweb.be/fr/annonce/fermette/a-vendre/tournai-rumillies/7540/8768843?searchId=5f562ef3762b0,545000,Maison,False,False,False,7540,Tournai Rumillies,Fermette,4.0,Excellent état,233,6,Hyper équipée,False,False,True,1500.0,True,40.0,2300,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/koolskamp/8851/8014397?searchId=5f562ef3762b0,549000,Maison,False,False,False,8851,Koolskamp,Maison,4.0,Bon,279,5,Équipée,False,False,False,None,True,None,1457,False,None
https://www.immoweb.be/fr/annonce/villa/a-vendre/ophasselt/9500/8535911?searchId=5f562ef3762b0,549000,Maison,False,False,False,9500,Ophasselt,Villa,None,Excellent état,334,4,Équipée,False,True,True,2153.0,False,None,2153,False,None
